,det,DF,Donor1_Serum,Donor2_Serum,Donor3_Serum,Donor4_Serum,Donor4_Plasma_EDTA,Donor5_Serum,Donor5_Plasma_Heparin,Donor6_Serum,Donor6_Plasma_Heparin,Donor6_Plasma_EDTA
NL63_S1,IgG,400,1085,6447,6262,5327,5609,7130,7118.5,15488,15420,15137.5
NL63_S1,IgG,800,622.5,3959,4026,3037,3070,4398,4368,9964,9962.5,9798
NL63_S1,IgG,1600,344,2269.5,2290.5,1664,1691,2572,2467,5794,5725,5804
NL63_S1,IgG,3200,190,1176,1220,878.5,892.5,1364,1317.5,3295,3301,3251
NL63_S1,IgG,6400,113,649,653.5,468,479,744,696.5,1746.5,1808.5,1782
NL63_S1,IgG,12800,68,355,337.5,257,251,390.5,384,944,974,950
OC43_S1,IgG,100,10071,30871,30446,27706,27872,25250,24659,19864.5,19581,19205
OC43_S1,IgG,200,5810,21908,22025.5,19616.5,20101,17339.5,17648,13068,12836,12863
OC43_S1,IgG,400,3297,14672,14184.5,12726,12835,11239.5,11163,7873.5,7633,7566
OC43_S1,IgG,800,1842.5,9082.5,8644.5,7606.5,7787,6722,6594,4507,4427,4472
OC43_S1,IgG,1600,948,5266,5036,4487,4519,3883,3859,2492,2464,2480
OC43_S1,IgG,3200,531,2874.5,2813.5,2518,2504,2243,2111,1304.5,1348,1317
OC43_S1,IgG,6400,278,1566.5,1557,1370,1378,1190,1139,713.5,712,703
OC43_S1,IgG,12800,154,876,811,713,717,643,620,384.5,385,399
229E_S1,IgG,100,11355,11845,12505,17980.5,24647.5,31037,31072,23986,23951,24612
229E_S1,IgG,200,9602,9687.5,10024,14360,16337,28297,29442.5,16423.5,16071,16438
229E_S1,IgG,400,6725,6882.5,6668,9564,9907,22581,22911,10234.5,9912,10092
229E_S1,IgG,800,4151,4017,4007,5897,5885,15496,15489,6018,5853,5857.5
229E_S1,IgG,1600,2268.5,2296,2318,3408,3417.5,9677,9651,3354.5,3215,3365.5
229E_S1,IgG,3200,1250,1235,1285.5,1852.5,1931,5854.5,5677,1855,1800,1812
229E_S1,IgG,6400,684,697,688,1015.5,1048,3311,3174,975,980.5,980
229E_S1,IgG,12800,384,376,382,552,571,1814,1761,523,564,532
SARS2_S1,IgG,100,4499.5,1430.5,1258,109,115,7543.5,7643,1279,1239,1242
SARS2_S1,IgG,200,2490,810.5,727,75,83,4899,4993,732,725,707
SARS2_S1,IgG,400,1358,467,399.5,67,72,2920.5,2889,416.5,403,400
SARS2_S1,IgG,800,713,263,228,56,61,1677,1631,243,216,232
SARS2_S1,IgG,1600,372,145.5,123,49,47,919,870,155,121.5,152
SARS2_S1,IgG,3200,208,84.5,76,42.5,40,517,479,88,85.5,92
SARS2_S1,IgG,6400,113,55.5,52.5,35,33,270,250,58,55,62
SARS2_S1,IgG,12800,71,39,37,29,29,149,140,39,44.5,44
HKU1_S1,IgG,100,10483,2618,2686.5,19486.5,18837,9708,9843.5,13106,13035,12678
HKU1_S1,IgG,200,6255,1538.5,1502,13598,13576.5,5953,6038,8480,8183,8331.5
HKU1_S1,IgG,400,3768.5,871,792.5,8688.5,8701,3370,3416,4941,4972,4863
HKU1_S1,IgG,800,2116,483.5,459,5177,5158,1921,1868.5,2857,2858.5,2798
HKU1_S1,IgG,1600,1130.5,271,259,2971,3065,1070.5,1005,1553,1536,1560
HKU1_S1,IgG,3200,598.5,150,151,1664,1678.5,582.5,561.5,831,869.5,842
HKU1_S1,IgG,6400,325,101,90,877,902,322,309,449.5,460.5,458
HKU1_S1,IgG,12800,195,65,63,482.5,487.5,190,181,252,255,259
OC43_N,IgG,100,2128,11020,10902,34273,35147,33777,32501,15317,15773,16330.5
OC43_N,IgG,200,1330,7707,7299,26135.5,28273,26502,26761.5,11197,10865,11837.5
OC43_N,IgG,400,816.5,4942,4476,19911.5,19994.5,19344.5,18812.5,7435,7270,7763
OC43_N,IgG,800,500.5,2910.5,2829,13374.5,13703,13391,12488,4904,4798,4986
OC43_N,IgG,1600,289,1724,1575,8810,8931.5,8744,8249,2996,2927.5,2874
OC43_N,IgG,3200,173,951,917,5279,5280,5483.5,5080,1678,1792.5,1687
OC43_N,IgG,6400,111.5,531,505.5,2956.5,2982.5,2975,2976,968,962,948
OC43_N,IgG,12800,76.5,297,283.5,1696,1653,1714.5,1654,528,526,522
NL63_N,IgG,100,21978.5,26313,25580,37048,52377.5,30588,32442,28415,27871.5,57562
NL63_N,IgG,200,14565,19108,18437,46791,47512,42965,44476.5,40886,42327,53877
NL63_N,IgG,400,8996,12510,11670,39209,39209,44464.5,42870,47747.5,46035,48256
NL63_N,IgG,800,5316.5,7684,7041.5,28675,28627,38264.5,35631,38973,37319.5,38725
NL63_N,IgG,1600,2874.5,4453.5,4099,19605,20597,28084,26313,28013,26407,27742
NL63_N,IgG,3200,1598,2444,2326,12751,12739.5,19888,18117,17989.5,18037,18077
NL63_N,IgG,6400,840,1305,1209,7706,7720.5,12276.5,11343,11235.5,11152,11140
NL63_N,IgG,12800,459,695,651,4438,4353,7333,6985,6560.5,6696,6791
229E_N,IgG,100,4794,6825,5918,35902,35548,39434,39953,7042,8191,7439
229E_N,IgG,200,2712,4741.5,3970,26489.5,26880,32395,33387,4876.5,5057,4946.5
229E_N,IgG,400,1529.5,2977,2340,18222,18812,25120,24482,3003,2853,3152
229E_N,IgG,800,893,1779,1353.5,11692,11812,17469,17124,1849,1787,1937.5
229E_N,IgG,1600,486,1003,787,7340,7577,11493,11184,1067,1066,1092
229E_N,IgG,3200,292,545,442.5,4304.5,4179,7201,6931.5,613,620.5,601.5
229E_N,IgG,6400,156,295,254,2393,2409,4055.5,3885,349,349,334.5
229E_N,IgG,12800,98.5,179,144.5,1313,1283.5,2296.5,2191,177,201.5,201.5
HKU1_N,IgG,100,1088,1969,1893,6250,6615,12474,12363.5,5340,6327.5,5548.5
HKU1_N,IgG,200,617.5,1107,1048,3509,3663,7659,7797,3055.5,3585.5,3071.5
HKU1_N,IgG,400,360.5,606,572,1937.5,1962,4409,4877.5,1602,1903,1589.5
HKU1_N,IgG,800,209.5,341.5,330,1037,1060,2599,2667.5,894,1064,876.5
HKU1_N,IgG,1600,130,201,189,581,600,1373.5,1543.5,468,538.5,470
HKU1_N,IgG,3200,86.5,116,130,301,317,775,808,268,287,268.5
HKU1_N,IgG,6400,53.5,77,76,169,179.5,421,447.5,146,154,150
HKU1_N,IgG,12800,42,54,50,105,105.5,224.5,257,92,91,88.5
OC43_N_NTD,IgG,100,1823,22722,21955,30045,30021,31851.5,31273,22096.5,20904,22297.5
OC43_N_NTD,IgG,200,1031,15725,15057,21754,21589,24045,23998,14906,14127.5,14739.5
OC43_N_NTD,IgG,400,576.5,9861,9409,14067,14155.5,16534,16442,9152.5,8841,9162
OC43_N_NTD,IgG,800,318.5,5922,5583.5,8622.5,8527,10894,10666.5,5350,5196,5252
OC43_N_NTD,IgG,1600,179,3315,3189,5136,5228,6731,6301,3005,2845,2931
OC43_N_NTD,IgG,3200,112,1810,1771,2847,2956,3797,3634,1600,1588,1543.5
OC43_N_NTD,IgG,6400,67,979,927,1544,1570,2078,1963,838.5,823,835
OC43_N_NTD,IgG,12800,50,509,493,853,824.5,1112,1065.5,451,465,460.5
NL63_N_NTD,IgG,100,2689,17339,15019,22274,23124,24943,18205,24541,17504,24990
NL63_N_NTD,IgG,200,1617.5,12183,10752,16251,16854,20632,15429,19701.5,14641,20266
NL63_N_NTD,IgG,400,913.5,8181.5,6666,10240,10679.5,15097,11445,13612,10628,14004.5
NL63_N_NTD,IgG,800,526,4830,3886,6472,6355,10467.5,7976,9046,7219.5,9068
NL63_N_NTD,IgG,1600,292,2752,2225,3798,3865,6525,5308,5189,4467,5264
NL63_N_NTD,IgG,3200,163,1502,1192,2067.5,2086,3815.5,3291,2989,2762,2949
NL63_N_NTD,IgG,6400,92,792,651,1094,1137.5,2049.5,1923,1589.5,1632,1564
NL63_N_NTD,IgG,12800,64,425,333,605,608,1155,1053,848,874,878
SARS2_N_NTD,IgG,100,1081,5576,4233.5,9683,10130,6517,6037,1422,1263,1506
SARS2_N_NTD,IgG,200,663,3652.5,2798,6159,6542,3944,3765.5,853,804,921
SARS2_N_NTD,IgG,400,394.5,2339,1677.5,3755,3913.5,2262,2064,522,477,517
SARS2_N_NTD,IgG,800,231,1289.5,962,2149,2222,1366,1128,323,289,329
SARS2_N_NTD,IgG,1600,138,709,528,1215,1261,778,629,197,172.5,190
